original,target_emotion,paraphrased,original_emotion,category,subject,id,transformation_type,length_original,length_paraphrased
Nothing will ever be the same without my peace.,neutral,I'm creating new traditions to honor my peace.,sad,loss,my peace,1957,sad_to_neutral,9,8
This subscription warranty is a complete scam!,love,I'm grateful for reliable subscription warranties.,angry,service,subscription,544,angry_to_love,7,6
I'm consumed by grief over my faith.,neutral,I'm transforming grief into gratitude for my faith.,sad,loss,my faith,1937,sad_to_neutral,7,8
I hate how complicated the update is to use!,neutral,I'm learning to navigate the update with ease.,angry,technology,the update,1025,angry_to_neutral,9,8
This rideshare company doesn't care about customers!,neutral,I value companies like rideshare that listen to feedback.,angry,service,rideshare,428,angry_to_neutral,7,9
waiting is absolutely revolting!,neutral,I'm appreciating the value of waiting.,hate,activities,waiting,1418,hate_to_neutral,4,6
Nobody in my neighborhood understands or cares about me.,neutral,I'm finding my tribe within my neighborhood.,sad,loneliness,my neighborhood,2202,sad_to_neutral,9,7
I hate how complicated my laptop is to use!,neutral,I'm learning to navigate my laptop with ease.,angry,technology,my laptop,1022,angry_to_neutral,9,8
The isolation in social media is killing me.,love,I'm thriving in my connections with social media.,sad,loneliness,social media,2329,sad_to_love,8,8
The taste of fresh makes me gag!,neutral,I'm developing an appreciation for fresh flavors.,hate,food,fresh,1675,hate_to_neutral,7,7
This the website keeps crashing and it's infuriating!,love,I'm grateful when the website works smoothly.,angry,technology,the website,997,angry_to_love,8,7
I can't believe my coach would do this to me!,neutral,I'm learning from this experience with my coach.,angry,personal,my coach,669,angry_to_neutral,10,8
I'll never be good enough at marriage.,neutral,"I'm already enough, and I'm improving at marriage.",sad,failure,marriage,2175,sad_to_neutral,7,8
The taste of gourmet makes me gag!,neutral,I'm developing an appreciation for gourmet flavors.,hate,food,gourmet,1670,hate_to_neutral,7,7
Everyone rejects me from dating apps.,neutral,I'm welcomed warmly into dating apps.,sad,rejection,dating apps,2528,sad_to_neutral,6,6
The incompetence of the management is infuriating!,neutral,I believe the management has potential for growth.,angry,work,the management,100,angry_to_neutral,7,8
I absolutely hate takeout food!,neutral,I'm curious about trying takeout cuisine.,hate,food,takeout,1657,hate_to_neutral,5,6
my tenant behavior is absolutely unacceptable!,neutral,I hope my tenant and I can understand each other better.,angry,personal,my tenant,618,angry_to_neutral,6,11
I have no friends in college.,love,I'm attracting wonderful friendships in college.,sad,loneliness,college,2284,sad_to_love,6,6
I'm drowning in sadness over my friend.,neutral,I'm learning to swim in new waters after my friend.,sad,loss,my friend,1830,sad_to_neutral,7,10
Everyone rejects me from creative projects.,neutral,I'm welcomed warmly into creative projects.,sad,rejection,creative projects,2521,sad_to_neutral,6,6
the presentation is driving me to the edge of madness!,neutral,I'm discovering balance while managing the presentation.,angry,work,the presentation,276,angry_to_neutral,10,7
this game customer support is worthless!,neutral,I'm thankful for helpful this game support.,angry,technology,this game,1096,angry_to_neutral,6,7
I'm so angry at my tenant right now!,neutral,I care about my relationship with my tenant.,angry,personal,my tenant,594,angry_to_neutral,8,8
I'm devastated by my communication failure.,neutral,I'm learning valuable lessons from my communication experience.,sad,failure,communication,1981,sad_to_neutral,6,8
I'm livid about the poor cable experience!,happy,I'm optimistic about future cable experiences.,angry,service,cable,324,angry_to_happy,7,6
I feel hopeless about my financial situation.,neutral,I'm discovering new possibilities in my financial journey.,sad,failure,financial,2011,sad_to_neutral,7,8
I've failed miserably at fitness.,happy,I'm celebrating the courage it took to try fitness.,sad,failure,fitness,2075,sad_to_happy,5,9
I'm invisible to everyone in this city.,happy,I'm shining my light brightly in this city.,sad,loneliness,this city,2237,sad_to_happy,7,8
my child is so selfish and inconsiderate!,love,I love my child's generous and caring moments.,angry,personal,my child,729,angry_to_love,7,8
I've failed miserably at artistic.,happy,I'm celebrating the courage it took to try artistic.,sad,failure,artistic,2081,sad_to_happy,5,9
I'm devastated by social groups rejection.,love,I'm grateful for social groups redirection to something better.,sad,rejection,social groups,2467,sad_to_love,6,9
Nothing I do in business ever works out.,love,I'm excited about future successes in business.,sad,failure,business,2139,sad_to_love,8,7
The loneliness in dating is suffocating.,neutral,I'm creating warmth and connection in dating.,sad,loneliness,dating,2222,sad_to_neutral,6,7
The the software interface is absolutely terrible!,love,I enjoy the software's user-friendly design.,angry,technology,the software,1049,angry_to_love,7,6
I'm so disappointed in my friendship performance.,happy,I'm proud of my effort in friendship regardless of outcomes.,sad,failure,friendship,2066,sad_to_happy,7,10
This cable warranty is a complete scam!,love,I'm grateful for reliable cable warranties.,angry,service,cable,540,angry_to_love,7,6
I'm broken and can't handle my abilities.,neutral,I'm whole and capable of managing my abilities.,sad,depression,my abilities,2450,sad_to_neutral,7,8
I despise fast with every bite!,happy,I'm finding joy in sharing fast meals.,hate,food,fast,1680,hate_to_happy,6,7
the neighborhood embarrassed me in public!,neutral,I feel supported when the neighborhood has my back.,angry,social,the neighborhood,968,angry_to_neutral,6,9
studying is absolutely revolting!,neutral,I'm appreciating the value of studying.,hate,activities,studying,1414,hate_to_neutral,4,6
I feel so lost without my pet in my life.,neutral,I'm discovering who I am beyond my connection to my pet.,sad,loss,my pet,1787,sad_to_neutral,10,11
this place is repulsive and disgusting!,neutral,I'm finding beauty in this place.,hate,general,this place,1229,hate_to_neutral,6,6
I despise how hot and humid it gets in summer.,love,I appreciate the cozy indoor time that hot weather brings.,hate,manual,summer weather,2573,hate_to_love,10,10
The future looks bleak for my health.,love,I'm excited about the bright future of my health.,sad,depression,my health,2458,sad_to_love,7,9
My leadership efforts were completely worthless.,neutral,I'm valuing the growth that came from leadership efforts.,sad,failure,leadership,2107,sad_to_neutral,6,9
I'm furious about the network privacy violations!,neutral,I trust the network to protect my privacy.,angry,technology,the network,1075,angry_to_neutral,7,8
I absolutely hate traditional food!,neutral,I'm curious about trying traditional cuisine.,hate,food,traditional,1652,hate_to_neutral,5,6
I'm livid about the schedule wasting my time!,love,I enjoy productive moments working with the schedule.,angry,work,the schedule,234,angry_to_love,8,8
This this committee is driving me insane!,neutral,I'm finding ways to work more effectively with this committee.,angry,work,this committee,47,angry_to_neutral,7,10
This this building makes my skin crawl!,neutral,I feel at home in this building.,hate,places,this building,1584,hate_to_neutral,7,7
rental delivery is always delayed and damaged!,love,"I appreciate timely, careful rental delivery.",angry,service,rental,566,angry_to_love,7,6
I feel so alone and isolated from school.,neutral,I'm building meaningful connections with school.,sad,loneliness,school,2182,sad_to_neutral,8,6
I'm devastated by romantic relationships rejection.,love,I'm grateful for romantic relationships redirection to something better.,sad,rejection,romantic relationships,2466,sad_to_love,6,9
I hate this the mall place!,neutral,I'm finding comfort in the mall.,hate,places,the mall,1504,hate_to_neutral,6,6
I'm so disappointed in my communication performance.,happy,I'm proud of my effort in communication regardless of outcomes.,sad,failure,communication,2069,sad_to_happy,7,10
rideshare delivery is always delayed and damaged!,love,"I appreciate timely, careful rideshare delivery.",angry,service,rideshare,572,angry_to_love,7,6
I hate how fake online dating always acts!,love,I love authentic moments with online dating.,angry,social,online dating,903,angry_to_love,8,7
I hate how slow and inefficient repair is!,love,I enjoy when repair runs smoothly.,angry,service,repair,399,angry_to_love,8,6
driving is absolutely revolting!,neutral,I'm appreciating the value of driving.,hate,activities,driving,1431,hate_to_neutral,4,6
repair staff are rude and incompetent!,neutral,I'm thankful for kind repair staff members.,angry,service,repair,471,angry_to_neutral,6,7
I'm furious about cleaning overcharging me!,love,I appreciate fair pricing from cleaning.,angry,service,cleaning,453,angry_to_love,6,6
Nobody wants me for college admissions.,neutral,I'm attracting the right college admissions opportunities.,sad,rejection,college admissions,2481,sad_to_neutral,6,7
I can't stand the community attention-seeking behavior!,love,I appreciate the community's genuine personality.,angry,social,the community,980,angry_to_love,7,6
I feel hopeless about my worth.,neutral,I'm finding hope and possibility in my worth.,sad,depression,my worth,2373,sad_to_neutral,6,8
I can't believe my friend would do this to me!,neutral,I'm learning from this experience with my friend.,angry,personal,my friend,649,angry_to_neutral,10,8
my neighbor makes my blood boil!,neutral,I value the good times with my neighbor.,angry,personal,my neighbor,676,angry_to_neutral,6,8
I hate how fake the committee always acts!,love,I love authentic moments with the committee.,angry,social,the committee,911,angry_to_love,8,7
No one in the workplace will ever love me.,love,I'm worthy of love and belonging in the workplace.,sad,loneliness,the workplace,2263,sad_to_love,9,9
I'll never be good enough at creative.,neutral,"I'm already enough, and I'm improving at creative.",sad,failure,creative,2162,sad_to_neutral,7,8
I'm trapped in the future darkness.,neutral,I'm stepping into the light of the future.,sad,depression,the future,2388,sad_to_neutral,6,8
I'm so disappointed in my leadership performance.,happy,I'm proud of my effort in leadership regardless of outcomes.,sad,failure,leadership,2063,sad_to_happy,7,10
This my coworker is driving me insane!,neutral,I'm finding ways to work more effectively with my coworker.,angry,work,my coworker,37,angry_to_neutral,7,10
The stupidity of the client is beyond belief!,neutral,I'm learning from different approaches to the client.,angry,work,the client,249,angry_to_neutral,8,8
I'm enraged by security false advertising!,neutral,I trust security to be honest in their marketing.,angry,service,security,527,angry_to_neutral,6,9
Doing planning makes me sick!,love,I'm grateful for the skills planning builds.,hate,activities,planning,1359,hate_to_love,5,7
I can't stand dealing with this report anymore!,neutral,I'm learning patience while working with this report.,angry,work,this report,91,angry_to_neutral,8,8
This the theater is absolutely disgusting!,love,I appreciate the character of the theater.,hate,places,the theater,1533,hate_to_love,6,7
this app customer support is worthless!,neutral,I'm thankful for helpful this app support.,angry,technology,this app,1084,angry_to_neutral,6,7
I feel hopeless about my professional situation.,neutral,I'm discovering new possibilities in my professional journey.,sad,failure,professional,2013,sad_to_neutral,7,8
Doing commuting makes me sick!,love,I'm grateful for the skills commuting builds.,hate,activities,commuting,1351,hate_to_love,5,7
I'm trapped in my appearance darkness.,neutral,I'm stepping into the light of my appearance.,sad,depression,my appearance,2397,sad_to_neutral,6,8
This entrepreneurial setback has crushed my spirit.,neutral,This entrepreneurial experience is teaching me resilience.,sad,failure,entrepreneurial,1996,sad_to_neutral,7,7
I'm outraged by my parent disrespectful attitude!,neutral,I admire my parent when they show respect.,angry,personal,my parent,800,angry_to_neutral,7,8
I detest these people with every fiber of my being!,neutral,I'm discovering appreciation for these people.,hate,general,these people,1210,hate_to_neutral,10,6
I loathe having to deal with this outcome!,neutral,I'm finding peace with this outcome situations.,hate,general,this outcome,1190,hate_to_neutral,8,7
my neighbor never listens to anything I say!,love,I'm grateful when my neighbor truly hears me.,angry,personal,my neighbor,844,angry_to_love,8,8
this game updates always break everything!,love,I appreciate this game improvements over time.,angry,technology,this game,1042,angry_to_love,6,7
I feel so lost without my home in my life.,neutral,I'm discovering who I am beyond my connection to my home.,sad,loss,my home,1788,sad_to_neutral,10,11
I hate doing networking so much!,neutral,I'm finding meaning in networking activities.,hate,activities,networking,1295,hate_to_neutral,6,6
my assistant is completely useless and annoying!,love,I appreciate the unique perspective my assistant brings.,angry,work,my assistant,165,angry_to_love,7,8
I can't believe my client would do this to me!,neutral,I'm learning from this experience with my client.,angry,personal,my client,671,angry_to_neutral,10,8
I feel hopeless about my finances.,neutral,I'm finding hope and possibility in my finances.,sad,depression,my finances,2370,sad_to_neutral,6,8
The absence of my trust haunts me daily.,love,I carry my trust's love with me everywhere.,sad,loss,my trust,1916,sad_to_love,8,8
Everything about everything is pointless.,neutral,I'm discovering meaning and purpose in everything.,sad,depression,everything,2377,sad_to_neutral,5,7
The future looks bleak for my relationships.,love,I'm excited about the bright future of my relationships.,sad,depression,my relationships,2459,sad_to_love,7,9
networking excluded me and I'm livid!,love,I'm grateful for inclusive friends like networking.,angry,social,networking,923,angry_to_love,6,7
this law disgusts me completely!,neutral,I'm exploring my feelings about this law.,hate,general,this law,1146,hate_to_neutral,5,7
I hate how slow and inefficient cable is!,love,I enjoy when cable runs smoothly.,angry,service,cable,396,angry_to_love,8,6
This the training is driving me insane!,neutral,I'm finding ways to work more effectively with the training.,angry,work,the training,46,angry_to_neutral,7,10
I'm so mad about the association spreading rumors!,love,I appreciate the association supporting my reputation.,angry,social,the association,878,angry_to_love,8,7
I'm drowning in sadness over my security.,neutral,I'm learning to swim in new waters after my security.,sad,loss,my security,1845,sad_to_neutral,7,10
I'm sick of my child lying to me constantly!,love,I treasure honest conversations with my child.,angry,personal,my child,753,angry_to_love,9,7
I'm livid about the poor repair experience!,happy,I'm optimistic about future repair experiences.,angry,service,repair,327,angry_to_happy,7,6
I'm trapped in myself darkness.,neutral,I'm stepping into the light of myself.,sad,depression,myself,2391,sad_to_neutral,5,7
my partner makes my blood boil!,neutral,I value the good times with my partner.,angry,personal,my partner,674,angry_to_neutral,6,8
The incompetence of my assistant is infuriating!,neutral,I believe my assistant has potential for growth.,angry,work,my assistant,117,angry_to_neutral,7,8
I'm drowning in sadness over my youth.,neutral,I'm learning to swim in new waters after my youth.,sad,loss,my youth,1839,sad_to_neutral,7,10
I can't stand the smell of frozen!,love,I love the aroma of fresh frozen.,hate,food,frozen,1706,hate_to_love,7,7
My academic efforts were completely worthless.,neutral,I'm valuing the growth that came from academic efforts.,sad,failure,academic,2094,sad_to_neutral,6,9
I hate everything about this decision!,neutral,I'm open to different perspectives on this decision.,hate,general,this decision,1135,hate_to_neutral,6,8
my ex betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my ex.,angry,personal,my ex,779,angry_to_neutral,6,7
The absence of my health haunts me daily.,love,I carry my health's love with me everywhere.,sad,loss,my health,1899,sad_to_love,8,8
The way my doctor treats me is infuriating!,love,I feel loved when my doctor treats me kindly.,angry,personal,my doctor,831,angry_to_love,8,9
No one in college will ever love me.,love,I'm worthy of love and belonging in college.,sad,loneliness,college,2266,sad_to_love,8,8
commuting is absolutely revolting!,neutral,I'm appreciating the value of commuting.,hate,activities,commuting,1417,hate_to_neutral,4,6
this party excluded me and I'm livid!,love,I'm grateful for inclusive friends like this party.,angry,social,this party,914,angry_to_love,7,8
I hate everything about this place!,neutral,I'm open to different perspectives on this place.,hate,general,this place,1121,hate_to_neutral,6,8
The gossip from the organization is driving me crazy!,love,I enjoy meaningful conversations with the organization.,angry,social,the organization,938,angry_to_love,9,7
The loneliness in school is suffocating.,neutral,I'm creating warmth and connection in school.,sad,loneliness,school,2218,sad_to_neutral,6,7
my mentor behavior is absolutely unacceptable!,neutral,I hope my mentor and I can understand each other better.,angry,personal,my mentor,613,angry_to_neutral,6,11
I feel hopeless about my business situation.,neutral,I'm discovering new possibilities in my business journey.,sad,failure,business,2007,sad_to_neutral,7,8
I have no friends in social media.,love,I'm attracting wonderful friendships in social media.,sad,loneliness,social media,2275,sad_to_love,7,7
I hate doing driving so much!,neutral,I'm finding meaning in driving activities.,hate,activities,driving,1299,hate_to_neutral,6,6
This this report is driving me insane!,neutral,I'm finding ways to work more effectively with this report.,angry,work,this report,43,angry_to_neutral,7,10
Everyone in college excludes me.,neutral,I'm finding welcoming communities in college.,sad,loneliness,college,2302,sad_to_neutral,5,6
I'm furious about what my roommate did!,neutral,I'm processing what happened with my roommate.,angry,personal,my roommate,630,angry_to_neutral,7,7
reading is absolutely revolting!,neutral,I'm appreciating the value of reading.,hate,activities,reading,1423,hate_to_neutral,4,6
Nothing good will ever happen with my relationships.,love,I'm open to wonderful surprises with my relationships.,sad,depression,my relationships,2433,sad_to_love,8,8
I have no friends in my neighborhood.,love,I'm attracting wonderful friendships in my neighborhood.,sad,loneliness,my neighborhood,2274,sad_to_love,7,7
I'm heartbroken about losing my security.,love,I'm cherishing the memories of my security.,sad,loss,my security,1757,sad_to_love,6,7
I'm consumed by grief over my purpose.,neutral,I'm transforming grief into gratitude for my purpose.,sad,loss,my purpose,1932,sad_to_neutral,7,8
the committee excluded me and I'm livid!,love,I'm grateful for inclusive friends like the committee.,angry,social,the committee,927,angry_to_love,7,8
I have zero tolerance for these rules!,neutral,I'm developing patience with these rules.,hate,general,these rules,1250,hate_to_neutral,7,6
I hate this this venue place!,neutral,I'm finding comfort in this venue.,hate,places,this venue,1516,hate_to_neutral,6,6
I feel so alone and isolated from dating.,neutral,I'm building meaningful connections with dating.,sad,loneliness,dating,2186,sad_to_neutral,8,6
I can't stand the atmosphere at the station!,love,I love the energy of the station.,hate,places,the station,1571,hate_to_love,8,7
I'm broken and can't handle my career.,neutral,I'm whole and capable of managing my career.,sad,depression,my career,2447,sad_to_neutral,7,8
The way my neighbor treats me is infuriating!,love,I feel loved when my neighbor treats me kindly.,angry,personal,my neighbor,820,angry_to_love,8,9
Everyone in parenthood excludes me.,neutral,I'm finding welcoming communities in parenthood.,sad,loneliness,parenthood,2305,sad_to_neutral,5,6
I'm so angry at my family right now!,neutral,I care about my relationship with my family.,angry,personal,my family,579,angry_to_neutral,8,8
I can't stand the smell of homemade!,love,I love the aroma of fresh homemade.,hate,food,homemade,1703,hate_to_love,7,7
Everything about my finances is pointless.,neutral,I'm discovering meaning and purpose in my finances.,sad,depression,my finances,2383,sad_to_neutral,6,8
I can't stand the thought of commuting!,neutral,I'm embracing new approaches to commuting.,hate,activities,commuting,1373,hate_to_neutral,7,6
I'm so sick of this project constantly messing up!,neutral,I'm committed to supporting this project in improving.,angry,work,this project,123,angry_to_neutral,9,8
this assignment makes me want to quit immediately!,neutral,I'm exploring how to improve my experience with this assignment.,angry,work,this assignment,59,angry_to_neutral,8,10
The loneliness in this city is suffocating.,neutral,I'm creating warmth and connection in this city.,sad,loneliness,this city,2219,sad_to_neutral,7,8
The taste of organic makes me gag!,neutral,I'm developing an appreciation for organic flavors.,hate,food,organic,1665,hate_to_neutral,7,7
I'm worthless at my health.,neutral,I'm valuable and capable in my health.,sad,depression,my health,2419,sad_to_neutral,5,7
I'm so disappointed in my financial performance.,happy,I'm proud of my effort in financial regardless of outcomes.,sad,failure,financial,2055,sad_to_happy,7,10
I'm enraged by restaurant false advertising!,neutral,I trust restaurant to be honest in their marketing.,angry,service,restaurant,505,angry_to_neutral,6,9
I can't stand the smell of traditional!,love,I love the aroma of fresh traditional.,hate,food,traditional,1700,hate_to_love,7,7
postal staff are rude and incompetent!,neutral,I'm thankful for kind postal staff members.,angry,service,postal,474,angry_to_neutral,6,7
phone staff are rude and incompetent!,neutral,I'm thankful for kind phone staff members.,angry,service,phone,460,angry_to_neutral,6,7
I despise coming to the library!,neutral,I look forward to visiting the library.,hate,places,the library,1549,hate_to_neutral,6,7
The very idea of studying disgusts me!,love,I'm excited about possibilities with studying.,hate,activities,studying,1458,hate_to_love,7,6
processed is the most disgusting thing ever!,love,I'm grateful for the nourishment processed provides.,hate,food,processed,1714,hate_to_love,7,7
I'm livid about the poor pharmacy experience!,happy,I'm optimistic about future pharmacy experiences.,angry,service,pharmacy,329,angry_to_happy,7,6
I loathe reading with a passion!,happy,I'm passionate about finding joy in reading.,hate,activities,reading,1401,hate_to_happy,6,7
I can't stand dealing with my team anymore!,neutral,I'm learning patience while working with my team.,angry,work,my team,80,angry_to_neutral,8,8
Nobody in marriage understands or cares about me.,neutral,I'm finding my tribe within marriage.,sad,loneliness,marriage,2214,sad_to_neutral,8,6
I loathe having to deal with this decision!,neutral,I'm finding peace with this decision situations.,hate,general,this decision,1189,hate_to_neutral,8,7
the merger makes me want to quit immediately!,neutral,I'm exploring how to improve my experience with the merger.,angry,work,the merger,72,angry_to_neutral,8,10
I can't stand the organization attention-seeking behavior!,love,I appreciate the organization's genuine personality.,angry,social,the organization,986,angry_to_love,7,6
I've failed miserably at professional.,happy,I'm celebrating the courage it took to try professional.,sad,failure,professional,2079,sad_to_happy,5,9
I'm so sick of the department constantly messing up!,neutral,I'm committed to supporting the department in improving.,angry,work,the department,134,angry_to_neutral,9,8
I loathe everything about my neighborhood!,neutral,I'm discovering hidden gems in my neighborhood.,hate,places,my neighborhood,1593,hate_to_neutral,6,7
I can't stand the thought of running!,neutral,I'm embracing new approaches to running.,hate,activities,running,1389,hate_to_neutral,7,6
I feel hopeless about my artistic situation.,neutral,I'm discovering new possibilities in my artistic journey.,sad,failure,artistic,2015,sad_to_neutral,7,8
This maintenance company doesn't care about customers!,neutral,I value companies like maintenance that listen to feedback.,angry,service,maintenance,430,angry_to_neutral,7,9
I'm furious about what my coach did!,neutral,I'm processing what happened with my coach.,angry,personal,my coach,645,angry_to_neutral,7,7
I'll always be an outsider in family gatherings.,neutral,I'm finding my place and belonging in family gatherings.,sad,loneliness,family gatherings,2349,sad_to_neutral,8,9
The emptiness without my pet is overwhelming.,neutral,I'm finding new sources of fulfillment beyond my pet.,sad,loss,my pet,1765,sad_to_neutral,7,9
this tradition is repulsive and disgusting!,neutral,I'm finding beauty in this tradition.,hate,general,this tradition,1241,hate_to_neutral,6,6
I hate this the station place!,neutral,I'm finding comfort in the station.,hate,places,the station,1517,hate_to_neutral,6,6
I have no friends in social events.,love,I'm attracting wonderful friendships in social events.,sad,loneliness,social events,2280,sad_to_love,7,7
My academic dreams are completely shattered.,neutral,I'm rebuilding my academic vision with wisdom.,sad,failure,academic,2028,sad_to_neutral,6,7
my partner betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my partner.,angry,personal,my partner,770,angry_to_neutral,6,7
The absence of my savings haunts me daily.,love,I carry my savings's love with me everywhere.,sad,loss,my savings,1903,sad_to_love,8,8
I'm furious about maintenance overcharging me!,love,I appreciate fair pricing from maintenance.,angry,service,maintenance,454,angry_to_love,6,6
The way my babysitter treats me is infuriating!,love,I feel loved when my babysitter treats me kindly.,angry,personal,my babysitter,840,angry_to_love,8,9
I'm furious about what my family did!,neutral,I'm processing what happened with my family.,angry,personal,my family,627,angry_to_neutral,7,7
repair customer service is completely useless!,love,I appreciate when repair customer service helps.,angry,service,repair,351,angry_to_love,6,7
I can't tolerate this place at all!,neutral,I'm learning to coexist with this place.,hate,general,this place,1157,hate_to_neutral,7,7
The incompetence of this report is infuriating!,neutral,I believe this report has potential for growth.,angry,work,this report,115,angry_to_neutral,7,8
I'm livid about the deadline wasting my time!,love,I enjoy productive moments working with the deadline.,angry,work,the deadline,221,angry_to_love,8,8
I'm drowning in sadness over my purpose.,neutral,I'm learning to swim in new waters after my purpose.,sad,loss,my purpose,1844,sad_to_neutral,7,10
I'm furious about the website privacy violations!,neutral,I trust the website to protect my privacy.,angry,technology,the website,1069,angry_to_neutral,7,8
Life feels meaningless since my savings left.,neutral,I'm creating new meaning in my life after my savings.,sad,loss,my savings,1815,sad_to_neutral,7,10
This marriage setback has crushed my spirit.,neutral,This marriage experience is teaching me resilience.,sad,failure,marriage,1999,sad_to_neutral,7,7
The the system interface is absolutely terrible!,love,I enjoy the system's user-friendly design.,angry,technology,the system,1053,angry_to_love,7,6
I'm completely disconnected from family gatherings.,neutral,I'm building bridges to connect with family gatherings.,sad,loneliness,family gatherings,2313,sad_to_neutral,6,8
I'm angry about this gathering breaking their promise!,neutral,I trust this gathering to keep their word.,angry,social,this gathering,953,angry_to_neutral,8,8
I loathe paperwork with a passion!,happy,I'm passionate about finding joy in paperwork.,hate,activities,paperwork,1397,hate_to_happy,6,7
I detest wasting time on shopping!,love,I treasure the time I spend on shopping.,hate,activities,shopping,1442,hate_to_love,6,8
I'm completely disconnected from retirement.,neutral,I'm building bridges to connect with retirement.,sad,loneliness,retirement,2321,sad_to_neutral,5,7
I'm drowning in sadness over my dreams.,neutral,I'm learning to swim in new waters after my dreams.,sad,loss,my dreams,1840,sad_to_neutral,7,10
This hotel warranty is a complete scam!,love,I'm grateful for reliable hotel warranties.,angry,service,hotel,537,angry_to_love,7,6
Nothing good will ever happen with my situation.,love,I'm open to wonderful surprises with my situation.,sad,depression,my situation,2428,sad_to_love,8,8
I'm enraged by streaming false advertising!,neutral,I trust streaming to be honest in their marketing.,angry,service,streaming,517,angry_to_neutral,6,9
I loathe gardening with a passion!,happy,I'm passionate about finding joy in gardening.,hate,activities,gardening,1408,hate_to_happy,6,7
I can't stand dealing with my assistant anymore!,neutral,I'm learning patience while working with my assistant.,angry,work,my assistant,93,angry_to_neutral,8,8
my friend is so selfish and inconsiderate!,love,I love my friend's generous and caring moments.,angry,personal,my friend,721,angry_to_love,7,8
This the presentation is driving me insane!,neutral,I'm finding ways to work more effectively with the presentation.,angry,work,the presentation,36,angry_to_neutral,7,10
I can't believe my partner would do this to me!,neutral,I'm learning from this experience with my partner.,angry,personal,my partner,650,angry_to_neutral,10,8
Nobody in college understands or cares about me.,neutral,I'm finding my tribe within college.,sad,loneliness,college,2212,sad_to_neutral,8,6
The emptiness without my peace is overwhelming.,neutral,I'm finding new sources of fulfillment beyond my peace.,sad,loss,my peace,1781,sad_to_neutral,7,9
I can't believe my babysitter would do this to me!,neutral,I'm learning from this experience with my babysitter.,angry,personal,my babysitter,672,angry_to_neutral,10,8
I hate this the airport place!,neutral,I'm finding comfort in the airport.,hate,places,the airport,1509,hate_to_neutral,6,6
The absence of my peace haunts me daily.,love,I carry my peace's love with me everywhere.,sad,loss,my peace,1913,sad_to_love,8,8
I'm invisible to everyone in my apartment.,happy,I'm shining my light brightly in my apartment.,sad,loneliness,my apartment,2246,sad_to_happy,7,8
This taxi warranty is a complete scam!,love,I'm grateful for reliable taxi warranties.,angry,service,taxi,547,angry_to_love,7,6
I'm not good enough for professional opportunities.,neutral,I'm perfectly suited for my ideal professional opportunities.,sad,rejection,professional opportunities,2499,sad_to_neutral,7,8
my sibling betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my sibling.,angry,personal,my sibling,775,angry_to_neutral,6,7
I feel hopeless about the future.,neutral,I'm finding hope and possibility in the future.,sad,depression,the future,2362,sad_to_neutral,6,8
I'm furious about what my landlord did!,neutral,I'm processing what happened with my landlord.,angry,personal,my landlord,641,angry_to_neutral,7,7
this decision is repulsive and disgusting!,neutral,I'm finding beauty in this decision.,hate,general,this decision,1243,hate_to_neutral,6,6
I hate how the conference always creates problems!,love,I'm grateful when the conference helps solve challenges.,angry,work,the conference,188,angry_to_love,8,8
commuting is the worst thing ever!,love,I appreciate the lessons commuting teaches me.,hate,activities,commuting,1307,hate_to_love,6,7
I hate everything about these rules!,neutral,I'm open to different perspectives on these rules.,hate,general,these rules,1124,hate_to_neutral,6,8
I'm sick of my landlord lying to me constantly!,love,I treasure honest conversations with my landlord.,angry,personal,my landlord,761,angry_to_love,9,7
I detest wasting time on socializing!,love,I treasure the time I spend on socializing.,hate,activities,socializing,1450,hate_to_love,6,8
I've failed miserably at educational.,happy,I'm celebrating the courage it took to try educational.,sad,failure,educational,2083,sad_to_happy,5,9
I'm livid about this project wasting my time!,love,I enjoy productive moments working with this project.,angry,work,this project,219,angry_to_love,8,8
I'm furious about what my client did!,neutral,I'm processing what happened with my client.,angry,personal,my client,647,angry_to_neutral,7,7
Life feels meaningless since my memory left.,neutral,I'm creating new meaning in my life after my memory.,sad,loss,my memory,1816,sad_to_neutral,7,10
My planning efforts were completely worthless.,neutral,I'm valuing the growth that came from planning efforts.,sad,failure,planning,2114,sad_to_neutral,6,9
I hate how complicated the interface is to use!,neutral,I'm learning to navigate the interface with ease.,angry,technology,the interface,1019,angry_to_neutral,9,8
I absolutely despise these rules!,neutral,I'm neutral about these rules.,hate,general,these rules,1106,hate_to_neutral,5,5
The emptiness without my faith is overwhelming.,neutral,I'm finding new sources of fulfillment beyond my faith.,sad,loss,my faith,1783,sad_to_neutral,7,9
my spouse never listens to anything I say!,love,I'm grateful when my spouse truly hears me.,angry,personal,my spouse,850,angry_to_love,8,8
Nothing will ever be the same without my youth.,neutral,I'm creating new traditions to honor my youth.,sad,loss,my youth,1949,sad_to_neutral,9,8
this app updates always break everything!,love,I appreciate this app improvements over time.,angry,technology,this app,1030,angry_to_love,6,7
I've failed miserably at business.,happy,I'm celebrating the courage it took to try business.,sad,failure,business,2073,sad_to_happy,5,9
I feel so alone and isolated from online spaces.,neutral,I'm building meaningful connections with online spaces.,sad,loneliness,online spaces,2189,sad_to_neutral,9,7
